,Threshold,Feature,Direction,Alpha
0,2.05,7.0,1.0,1.104747334964017
1,0.15999999999999998,40.0,1.0,1.258688412393279
2,10.08,26.0,1.0,0.6349825610057798
3,4.16,36.0,-1.0,0.47881749353575986
4,9.12,11.0,-1.0,0.4995973196524221
5,14.08,34.0,1.0,0.39776026378820317
6,12.16,17.0,1.0,0.4209535756932241
7,12.16,27.0,1.0,0.3498281948432106
8,9.12,49.0,-1.0,0.3408523633859824
9,11.04,40.0,1.0,0.29123491224440684
10,2.1,32.0,-1.0,0.33874975598431983
11,5.12,16.0,1.0,0.3710559288972099
12,12.16,12.0,1.0,0.3419756736147473
13,11.04,35.0,1.0,0.327063630462356
14,9.12,17.0,1.0,0.27357308789967877
15,7.04,25.0,-1.0,0.3793600266229505
16,6.08,25.0,1.0,0.414616978757215
17,14.08,50.0,-1.0,0.3074885858231309
18,9.12,16.0,1.0,0.3025725913606012
19,1.12,37.0,-1.0,0.33038797597982805
20,10.049999999999999,24.0,1.0,0.3264075860105474
21,3.04,48.0,1.0,0.36672042098557217
22,14.08,49.0,-1.0,0.25159820442570413
23,15.04,48.0,1.0,0.25683643545762996
24,6.08,1.0,-1.0,0.32424282345046085
25,3.04,43.0,-1.0,0.23489935180620725
26,2.08,33.0,1.0,0.23714675554598
27,3.04,33.0,-1.0,0.3798387946906474
28,12.16,34.0,1.0,0.24451331631802636
29,11.04,36.0,-1.0,0.2376919794286915
30,11.04,36.0,1.0,0.38065089752163866
31,9.12,21.0,1.0,0.29745011729094833
32,3.04,17.0,1.0,0.3486056290312066
33,1.1199999999999999,40.0,1.0,0.2405833708836116
34,10.08,16.0,1.0,0.3318618146187391
35,3.04,20.0,1.0,0.28068653323893084
36,4.16,47.0,1.0,0.1861770665847893
37,0.15999999999999998,5.0,-1.0,0.25516614737778864
38,12.16,11.0,-1.0,0.23162156569609832
39,12.16,26.0,1.0,0.21458656654462768
40,2.05,7.0,1.0,0.2952316903729606
41,2.08,42.0,1.0,0.32788925632924315
42,15.04,49.0,-1.0,0.26215781334429983
43,1.1199999999999999,44.0,1.0,0.2254040898827891
44,14.08,48.0,1.0,0.20686496657006143
45,5.12,26.0,1.0,0.20590793999939863
46,2.05,7.0,1.0,0.26261180493371755
47,8.16,57.0,1.0,0.27150969348634785
48,7.04,42.0,1.0,0.17938332619683817
49,5.12,50.0,-1.0,0.2090415785252301
50,15.04,58.0,-1.0,0.19715329982504715
51,0.15999999999999998,18.0,-1.0,0.193364605553952
52,13.12,35.0,-1.0,0.21193966915106066
53,2.05,7.0,1.0,0.21769951124744644
54,1.1199999999999999,27.0,1.0,0.36390664176166254
55,14.08,2.0,-1.0,0.20334846537159207
56,2.05,7.0,1.0,0.2465287943549591
57,0.15999999999999998,42.0,1.0,0.23043752182434635
58,2.08,47.0,1.0,0.19261336330447745
59,5.12,20.0,1.0,0.1798862823859491
